iter	Logloss
0	0.3008125855
1	0.230452844
2	0.195234098
3	0.1849753997
4	0.1807127527
5	0.178203253
6	0.1755177278
7	0.1740814127
8	0.172566461
9	0.1716385456
10	0.1702298911
11	0.1699476865
12	0.1695421857
13	0.1692840596
14	0.1685148122
15	0.1666954919
16	0.1656893837
17	0.1656888066
18	0.1649355879
19	0.1646025763
20	0.1642723235
21	0.164209473
22	0.1630512213
23	0.1626632751
24	0.1622705541
25	0.1622659381
26	0.1614266735
27	0.1608093569
28	0.1602456243
29	0.1598076314
30	0.1597191175331	0.1595904379332	0.1590867606333	0.1579736947334	0.1576625533535	0.1572628636	36	0.1570186137	37	0.1564546838	38	0.15631739	0.39	0.15584040	0.40	0.15567741	0.41	0.15508742	0442	0.15453243	4343	0.15396144	4444	0.15396145	4545	0.1537946	04646	0.1531447	04747	0.1525048	04848	0.1522449	49	49	0.1521050	50	50	0.1518551	51	51	0.151495252	052	0.151085353	053	0.150765454	054	0.150745555	055	0.150355656	056	0.150165757	057	0.15000585858	0.1491991595959	0.14878860	6060	0.14845561	6161	0.14829762	6262	0.14808663	6363	0.14786164	6464	0.14738765	6565	0.14723066	6666	0.14683467	6767	0.14663968	668	0.146446169	669	0.146169070	770	0.146080771	771	0.14531772	0772	0.14513373	0773	0.14508374	74	0.1447349975	75	0.1443634776	76	0.1441454077	77	0.143827978	078	0.14359779	0.79	0.1430930738
44
623
