iter	Logloss_SumError	Logloss_SumWeight
0	21530.79166	32769
1	20409.17821	32769
2	19378.11988	32769
3	18430.21007	32769
4	17524.19156	32769
5	16723.6014	32769
6	15966.79456	32769
7	15269.4855	32769
8	14567.35989	32769
9	13967.20067	32769
10	13414.20674	32769
11	12943.47361	32769
12	12453.42902	32769
13	12038.55986	32769
14	11634.07494	32769
15	11238.56877	32769
16	10906.45803	32769
17	10583.32243	32769
18	10262.82728	32769
19	9939.176802	32769
20	9678.09121	32769
21	9480.581318	32769
22	9237.113602	32769
23	9023.027127	32769
24	8810.109389	32769
25	8611.902738	32769
26	8454.023032	32769
27	8269.763291	32769
28	8085.295001	32769
29	7873.56622	32769
30	7687.521371	32769
31	7530.854008	32769
32	7360.157792	32769
33	7249.858953	32769
34	7080.647027	32769
35	6978.1092	32769
36	6816.17333	32769
37	6693.426916	32769
38	6557.902715	32769
39	6429.10438	32769
40	6310.654808	32769
41	6228.601005	32769
42	6132.446033	32769
43	6030.230119	32769
44	5931.491927	32769
45	5855.005289	32769
46	5751.723963	32769
47	5673.435706	32769
48	5588.763975	32769
49	5518.247007	32769
50	5457.378385	32769
51	5383.153727	32769
52	5325.736473	32769
53	5261.533481	32769
54	5199.644663	32769
55	5142.904638	32769
56	5091.312263	32769
57	5043.740999	32769
58	4992.444424	32769
59	4940.107002	32769
60	4897.281404	32769
61	4845.738456	32769
62	4803.790492	32769
63	4767.363309	32769
64	4730.992946	32769
65	4690.952654	32769
66	4653.559408	32769
67	4624.996712	32769
68	4575.934236	32769
69	4536.605977	32769
70	4496.261904	32769
71	4464.957109	32769
72	4423.639255	32769
73	4387.752797	32769
74	4356.444844	32769
75	4328.43787	32769
76	4287.383504	32769
77	4256.723139	32769
78	4232.450344	32769
79	4210.498508	32769
80	4174.364437	32769
81	4137.027174	32769
82	4094.625186	32769
83	4060.85455	32769
84	4034.456694	32769
85	4007.546167	32769
86	3979.933229	32769
87	3954.543668	32769
88	3918.23641	32769
89	3894.814501	32769
90	3873.182992	32769
91	3844.853634	32769
92	3814.771565	32769
93	3793.836564	32769
94	3772.062168	32769
95	3752.173291	32769
96	3730.204835	32769
97	3705.605443	32769
98	3691.3558	32769
99	3673.477708	32769
100	3655.753715	32769
101	3633.963065	32769
102	3616.865299	32769
103	3608.75156	32769
104	3587.696649	32769
105	3576.36972	32769
106	3562.386902	32769
107	3551.77201	32769
108	3540.99932	32769
109	3530.250435	32769
110	3518.089065	32769
111	3505.286468	32769
112	3497.700774	32769
113	3486.841789	32769
114	3474.303693	32769
115	3459.43507	32769
116	3453.292684	32769
117	3435.985295	32769
118	3424.850642	32769
119	3416.692382	32769
120	3412.44434	32769
121	3406.355271	32769
122	3394.253023	32769
123	3381.21834	32769
124	3371.312032	32769
125	3364.024484	32769
126	3356.989739	32769
127	3352.140172	32769
128	3344.304942	32769
129	3337.594456	32769
130	3329.809912	32769
131	3311.258894	32769
132	3291.133083	32769
133	3275.106943	32769
134	3252.021827	32769
135	3234.728061	32769
136	3219.849221	32769
137	3212.900222	32769
138	3195.447101	32769
139	3187.595845	32769
140	3171.448625	32769
141	3158.911395	32769
142	3150.884075	32769
143	3137.104048	32769
144	3123.618691	32769
145	3120.89567	32769
146	3114.690809	32769
147	3108.332478	32769
148	3103.608633	32769
149	3092.733404	32769
150	3090.612209	32769
151	3074.289631	32769
152	3064.61235	32769
153	3045.153481	32769
154	3034.239753	32769
155	3023.640864	32769
156	3012.813249	32769
157	3011.446681	32769
158	2995.567924	32769
159	2993.349996	32769
160	2975.30307	32769
161	2963.249237	32769
162	2961.500835	32769
163	2956.540312	32769
164	2950.951366	32769
165	2948.66431	32769
166	2939.455851	32769
167	2927.420071	32769
168	2924.671393	32769
169	2923.178643	32769
170	2912.18498	32769
171	2903.244346	32769
172	2893.091095	32769
173	2881.045305	32769
174	2880.967569	32769
175	2873.37668	32769
176	2863.721798	32769
177	2862.186628	32769
178	2859.453888	32769
179	2857.77217	32769
180	2857.217134	32769
181	2856.176946	32769
182	2854.781885	32769
183	2853.310878	32769
184	2849.391375	32769
185	2842.250679	32769
186	2841.65863	32769
187	2839.048735	32769
188	2837.445041	32769
189	2835.474231	32769
190	2833.818288	32769
191	2817.526265	32769
192	2808.838004	32769
193	2807.833198	32769
194	2807.73093	32769
195	2805.112871	32769
196	2803.009209	32769
197	2803.301644	32769
198	2795.323494	32769
199	2787.208203	32769
