iter	Passed	Remaining
0	23	23380
1	71	35603
2	117	39034
3	142	35506
4	234	46599
5	283	47044
6	406	57678
7	452	56151
8	503	55400
9	525	52049
10	565	50839
11	583	48078
12	618	46953
13	650	45784
14	685	44994
15	724	44575
16	764	44181
17	799	43608
18	850	43936
19	888	43512
20	975	45497
21	1005	44700
22	1043	44312
23	1078	43843
24	1138	44408
25	1183	44317
26	1249	45030
27	1317	45719
28	1408	47158
29	1479	47834
30	1511	47260
31	1571	47539
32	1629	47761
33	1654	47013
34	1691	46627
35	1728	46282
36	1763	45899
37	1801	45617
38	1842	45408
39	1879	45106
40	1999	46757
41	2039	46521
42	2199	48943
43	2247	48833
44	2282	48447
45	2311	47928
46	2343	47510
47	2381	47239
48	2432	47214
49	2601	49428
50	2640	49138
51	2700	49225
52	2741	48987
53	2795	48967
54	2847	48924
55	2903	48940
56	2952	48850
57	3019	49035
58	3071	48986
59	3131	49060
60	3169	48796
61	3206	48516
62	3245	48274
63	3283	48021
64	3322	47786
65	3364	47616
66	3415	47566
67	3455	47364
68	3497	47194
69	3539	47021
70	3590	46981
71	3630	46787
72	3751	47636
73	3819	47793
74	3853	47527
75	3886	47246
76	3930	47116
77	4041	47770
78	4092	47706
79	4129	47493
80	4173	47350
81	4224	47297
82	4275	47235
83	4311	47011
84	4348	46806
85	4392	46685
86	4454	46744
87	4510	46740
88	4559	46672
89	4615	46664
90	4663	46586
91	4775	47130
92	4827	47076
93	4873	46973
94	4925	46918
95	4995	47040
96	5052	47035
97	5119	47123
98	5173	47085
99	5230	47072
100	5263	46850
101	5315	46796
102	5466	47605
103	5531	47657
104	5582	47585
105	5642	47589
106	5701	47585
107	5741	47420
108	5781	47261
109	5846	47300
110	5905	47294
111	5940	47100
112	5982	46961
113	6029	46861
114	6076	46760
115	6134	46748
116	6186	46688
117	6236	46616
118	6285	46532
119	6332	46438
120	6394	46450
121	6452	46437
122	6508	46406
123	6621	46774
124	6757	47302
125	6818	47300
126	6882	47307
127	6952	47366
128	7031	47478
129	7093	47470
130	7135	47333
131	7198	47336
132	7249	47255
133	7317	47289
134	7377	47269
135	7422	47152
136	7487	47164
137	7551	47171
138	7604	47104
139	7653	47013
140	7704	46935
141	7744	46794
142	7788	46677
143	7834	46569
144	7881	46472
145	7933	46402
146	7976	46283
147	8035	46255
148	8082	46162
149	8124	46037
150	8213	46179
151	8329	46469
152	8392	46460
153	8442	46381
154	8494	46308
155	8546	46236
156	8593	46143
157	8646	46080
158	8697	46002
159	8801	46208
160	8870	46225
161	8921	46148
162	8959	46005
163	8992	45840
164	9057	45834
165	9113	45784
166	9162	45703
167	9224	45683
168	9266	45564
169	9299	45402
170	9356	45357
171	9407	45286
172	9475	45294
173	9579	45475
174	9628	45390
175	9728	45546
176	9844	45775
177	9904	45738
178	9961	45687
179	10018	45638
180	10140	45885
181	10248	46061
182	10372	46306
183	10490	46522
184	10552	46488
185	10609	46431
186	10724	46624
187	10798	46641
188	10850	46560
189	10972	46778
190	11039	46758
191	11096	46696
192	11145	46603
193	11186	46477
194	11231	46366
195	11284	46290
196	11326	46168
197	11496	46565
198	11573	46585
199	11636	46546
200	11710	46552
201	11852	46823
202	11908	46754
203	11980	46747
204	12045	46714
205	12097	46630
206	12155	46565
207	12207	46483
208	12255	46383
209	12327	46375
210	12370	46257
211	12407	46118
212	12452	46010
213	12490	45875
214	12554	45840
215	12611	45776
216	12683	45766
217	12742	45707
218	12818	45712
219	12873	45643
220	12948	45640
221	13004	45572
222	13061	45510
223	13122	45460
224	13171	45369
225	13295	45533
226	13371	45534
227	13422	45447
228	13467	45341
229	13528	45290
230	13571	45178
231	13627	45111
232	13666	44987
233	13719	44909
234	13766	44813
235	13815	44723
236	13868	44647
237	13918	44562
238	13971	44486
239	14130	44745
240	14191	44693
241	14235	44587
242	14274	44468
243	14398	44611
244	14457	44552
245	14552	44602
246	14613	44551
247	14660	44455
248	14701	44341
249	14748	44246
250	14795	44151
251	14951	44380
252	15016	44336
253	15068	44255
254	15149	44261
255	15207	44197
256	15271	44149
257	15324	44073
258	15379	44000
259	15437	43936
260	15494	43872
261	15555	43817
262	15610	43745
263	15672	43692
264	15724	43612
265	15861	43768
266	15913	43688
267	15962	43599
268	15997	43472
269	16048	43389
270	16117	43357
271	16183	43315
272	16254	43286
273	16307	43208
274	16355	43119
275	16407	43040
276	16454	42947
277	16509	42875
278	16557	42787
279	16653	42823
280	16685	42693
281	16734	42608
282	16783	42521
283	16824	42417
284	16871	42326
285	16926	42258
286	17039	42332
287	17112	42306
288	17168	42237
289	17335	42441
290	17406	42409
291	17491	42411
292	17550	42348
293	17616	42304
294	17667	42221
295	17734	42180
296	17790	42109
297	17838	42022
298	17880	41919
299	17926	41827
300	18055	41930
301	18132	41908
302	18193	41850
303	18234	41746
304	18286	41669
305	18354	41626
306	18407	41552
307	18461	41478
308	18510	41394
309	18550	41290
310	18601	41211
311	18650	41125
312	18699	41042
313	18739	40939
314	18781	40842
315	18851	40806
316	18912	40749
317	18963	40670
318	19000	40562
319	19135	40662
320	19207	40628
321	19273	40582
322	19392	40646
323	19513	40713
324	19592	40692
325	19656	40640
326	19701	40546
327	19755	40474
328	19807	40396
329	19933	40470
330	19999	40422
331	20043	40327
332	20087	40235
333	20130	40140
334	20173	40046
335	20224	39967
336	20296	39931
337	20344	39845
338	20392	39763
339	20527	39847
340	20586	39785
341	20639	39710
342	20707	39663
343	20754	39578
344	20804	39498
345	20964	39626
346	21101	39709
347	21281	39871
348	21381	39883
349	21431	39801
350	21478	39714
351	21530	39635
352	21579	39552
353	21630	39472
354	21691	39411
355	21758	39361
356	21812	39286
357	21881	39239
358	22017	39311
359	22151	39380
360	22215	39323
361	22356	39401
362	22406	39319
363	22461	39246
364	22516	39171
365	22559	39077
366	22608	38994
367	22651	38901
368	22727	38864
369	22795	38813
370	22853	38747
371	22928	38707
372	22992	38648
373	23112	38686
374	23186	38644
375	23270	38619
376	23339	38568
377	23405	38513
378	23464	38446
379	23515	38367
380	23583	38315
381	23671	38296
382	23758	38273
383	23818	38208
384	23883	38151
385	23982	38148
386	24073	38131
387	24134	38067
388	24206	38021
389	24282	37980
390	24424	38042
391	24502	38004
392	24553	37923
393	24608	37850
394	24662	37773
395	24780	37795
396	24908	37833
397	24968	37766
398	25029	37701
399	25089	37634
400	25208	37655
401	25306	37645
402	25383	37602
403	25472	37578
404	25542	37525
405	25653	37532
406	25720	37474
407	25775	37399
408	25886	37405
409	25972	37375
410	26053	37337
411	26139	37306
412	26208	37250
413	26278	37195
414	26359	37156
415	26429	37103
416	26536	37100
417	26599	37035
418	26655	36961
419	26721	36901
420	26798	36855
421	26843	36766
422	26902	36696
423	26959	36624
424	27016	36551
425	27065	36468
426	27117	36389
427	27168	36309
428	27230	36244
429	27283	36166
430	27431	36215
431	27562	36239
432	27640	36193
433	27699	36123
434	27778	36080
435	27834	36006
436	27884	35924
437	27939	35849
438	27988	35766
439	28138	35812
440	28195	35739
441	28316	35747
442	28437	35754
443	28556	35760
444	28653	35736
445	28740	35700
446	28842	35682
447	28910	35621
448	28959	35538
449	29022	35471
450	29069	35386
451	29112	35295
452	29164	35216
453	29211	35131
454	29274	35065
455	29398	35072
456	29473	35020
457	29521	34935
458	29579	34864
459	29630	34783
460	29801	34844
461	29861	34774
462	29897	34676
463	29943	34590
464	30013	34531
465	30062	34449
466	30159	34422
467	30216	34348
468	30339	34350
469	30390	34270
470	30448	34198
471	30506	34125
472	30573	34063
473	30627	33987
474	30679	33909
475	30718	33816
476	30758	33724
477	30807	33643
478	30849	33554
479	30898	33473
480	30947	33392
481	30998	33314
482	31077	33265
483	31124	33182
484	31178	33106
485	31224	33023
486	31317	32989
487	31388	32932
488	31449	32864
489	31502	32788
490	31700	32863
491	31860	32896
492	31943	32850
493	32004	32782
494	32081	32729
495	32141	32659
496	32199	32588
497	32260	32519
498	32321	32450
499	32385	32385
500	32496	32367
501	32547	32288
502	32593	32204
503	32645	32127
504	32716	32068
505	32768	31991
506	32843	31936
507	32909	31873
508	32963	31797
509	33024	31729
510	33134	31707
511	33186	31631
512	33240	31555
513	33291	31477
514	33350	31408
515	33407	31335
516	33479	31277
517	33586	31251
518	33664	31199
519	33735	31140
520	33784	31060
521	33829	30978
522	33886	30905
523	33947	30837
524	33997	30759
525	34067	30700
526	34117	30621
527	34169	30545
528	34232	30479
529	34281	30400
530	34342	30332
531	34453	30308
532	34535	30258
533	34596	30190
534	34645	30112
535	34693	30032
536	34780	29987
537	34870	29944
538	34929	29874
539	35017	29829
540	35070	29754
541	35121	29678
542	35190	29617
543	35230	29531
544	35302	29472
545	35356	29398
546	35415	29329
547	35468	29255
548	35545	29200
549	35624	29147
550	35687	29080
551	35777	29036
552	35841	28971
553	35896	28898
554	35951	28826
555	35995	28744
556	36042	28665
557	36091	28588
558	36139	28511
559	36185	28431
560	36233	28354
561	36280	28275
562	36336	28204
563	36427	28159
564	36550	28140
565	36677	28123
566	36761	28073
567	36837	28017
568	37016	28038
569	37058	27956
570	37210	27956
571	37258	27878
572	37315	27807
573	37377	27740
574	37423	27661
575	37567	27654
576	37625	27583
577	37680	27510
578	37764	27459
579	37831	27394
580	37887	27323
581	37938	27248
582	37990	27172
583	38041	27098
584	38098	27026
585	38140	26945
586	38182	26864
587	38236	26791
588	38281	26712
589	38335	26639
590	38394	26570
591	38445	26495
592	38496	26421
593	38545	26346
594	38598	26272
595	38651	26199
596	38702	26125
597	38750	26049
598	38801	25975
599	38865	25910
600	38916	25836
601	38956	25755
602	38994	25672
603	39038	25594
604	39148	25559
605	39212	25494
606	39257	25416
607	39330	25358
608	39386	25287
609	39445	25219
610	39504	25150
611	39553	25076
612	39606	25004
613	39653	24928
614	39775	24900
615	39861	24848
616	39919	24780
617	39996	24722
618	40152	24714
619	40214	24647
620	40265	24574
621	40321	24504
622	40366	24427
623	40492	24399
624	40590	24354
625	40679	24303
626	40728	24229
627	40778	24155
628	40822	24078
629	40895	24018
630	40940	23941
631	40987	23865
632	41029	23788
633	41161	23761
634	41286	23731
635	41348	23664
636	41401	23592
637	41446	23516
638	41506	23448
639	41555	23375
640	41599	23298
641	41657	23229
642	41698	23151
643	41732	23069
644	41764	22986
645	42411	23240
646	42486	23180
647	42544	23110
648	42597	23038
649	42647	22964
650	42690	22886
651	42737	22810
652	42783	22734
653	42827	22657
654	42870	22580
655	42946	22520
656	42994	22446
657	43037	22368
658	43140	22323
659	43194	22251
660	43260	22186
661	43330	22123
662	43375	22047
663	43424	21973
664	43476	21901
665	43529	21829
666	43599	21767
667	43638	21688
668	43702	21622
669	43753	21550
670	43808	21479
671	43912	21433
672	44024	21390
673	44077	21319
674	44130	21247
675	44172	21171
676	44205	21090
677	44324	21050
678	44470	21023
679	44573	20975
680	44647	20914
681	44718	20850
682	44785	20786
683	44838	20714
684	44881	20639
685	45017	20605
686	45081	20539
687	45128	20465
688	45168	20388
689	45208	20310
690	45258	20238
691	45306	20165
692	45355	20092
693	45396	20016
694	45445	19943
695	45494	19871
