iter	Logloss
0	0.3257004503
1	0.2473243915
2	0.2134813249
3	0.1918508155
4	0.1834173989
5	0.1805011825
6	0.1766620483
7	0.1758706993
8	0.1748721169
9	0.1745916913
10	0.173162593
11	0.1725708807
12	0.1721388962
13	0.1720435366
14	0.1714159729
15	0.170921371
16	0.1697990143
17	0.1690856466
18	0.168828985
19	0.168313108
20	0.1678888088
21	0.1676574334
22	0.1674475336
23	0.1673483862
24	0.1670108702
25	0.1667097066
26	0.1665227455
27	0.1663474847
28	0.166034451
29	0.1657114161
30	0.1655676353
31	0.1654065036
32	0.1651918427
33	0.1651696351
34	0.1651321223
35	0.1646901713
36	0.1644787338
37	0.1638265424
38	0.1637452529
39	0.1637180511
40	0.163390756
41	0.1629543066
42	0.162059138
43	0.1619248662
44	0.1618220614
45	0.1616069922
46	0.1611450655
47	0.161109883
48	0.1610352358
49	0.1608190326
50	0.1603845424
51	0.1601829091
52	0.1600543024
53	0.1600098751
54	0.1599843254
55	0.1597493162
56	0.1596292647
57	0.1594997356
58	0.1588081825
59	0.1587871917
60	0.1586598892
61	0.1585804343
62	0.1585373459
63	0.1584003319
64	0.1582626742
65	0.1580464089
66	0.1580329509
67	0.1579136412
68	0.1578353362
69	0.1577031174
70	0.1575771676
71	0.1572544142
72	0.1570950722
73	0.1569963702
74	0.1566877719
75	0.1566471917
76	0.1563616516
77	0.1563208031
78	0.1562403803
79	0.1560865917
80	0.1560524227
81	0.1559521667
82	0.1552665616
83	0.1550466843
84	0.1548353179
85	0.1546026522
86	0.1542667676
87	0.153700897
88	0.1536336238
89	0.1533700395
90	0.152999054
91	0.1528138472
92	0.1527561863
93	0.1527092711
94	0.1525531117
95	0.152358792
96	0.1519358235
97	0.1517515397
98	0.1515736449
99	0.1514111109
