iter	Passed	Remaining
0	20	2050
1	45	2240
2	69	2250
3	115	2779
4	163	3115
5	192	3020
6	216	2881
7	239	2756
8	261	2647
9	283	2553
10	305	2470
11	327	2400
12	360	2411
13	382	2350
14	470	2663
15	555	2917
16	641	3134
17	728	3318
18	812	3464
19	903	3613
20	946	3561
21	990	3513
22	1037	3473
23	1079	3419
24	1124	3372
25	1166	3319
26	1208	3267
27	1250	3215
28	1292	3163
29	1333	3112
30	1375	3060
31	1416	3009
32	1459	2963
33	1500	2913
34	1542	2863
35	1584	2816
36	1625	2767
37	1664	2716
38	1699	2657
39	1733	2600
40	1768	2545
41	1803	2489
42	1838	2436
43	1880	2393
44	1918	2344
45	1956	2296
46	1995	2249
47	2032	2202
48	2060	2144
49	2083	2083
50	2106	2024
51	2128	1965
52	2152	1908
53	2174	1852
54	2196	1796
55	2217	1742
56	2239	1689
57	2268	1642
58	2301	1599
59	2333	1555
60	2366	1513
61	2397	1469
62	2420	1421
63	2442	1373
64	2464	1326
65	2485	1280
66	2503	1232
67	2524	1188
68	2546	1143
69	2567	1100
70	2589	1057
71	2611	1015
72	2634	974
73	2656	933
74	2677	892
75	2699	852
76	2721	813
77	2743	773
78	2765	735
79	2787	696
80	2809	659
81	2831	621
82	2853	584
83	2877	548
84	2899	511
85	2921	475
86	2974	444
87	3017	411
88	3054	377
89	3085	342
90	3109	307
91	3132	272
92	3154	237
93	3175	202
94	3197	168
95	3219	134
96	3241	100
97	3262	66
98	3284	33
99	3305	0
